TableName;Last_User_Seek;Last_User_Scan;Last_User_Lookup;User_Update;TotalReads
fwkNotificationMessages;NULL;2025-10-26 02:51:48.120;NULL;0;6790
CFN_TB_AdministrativeUnitHdr;2025-10-25 09:55:45.810;2025-10-25 09:55:45.810;2025-10-24 18:10:38.710;0;6015
CFN_TB_MasterValue;2025-10-24 18:12:06.427;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;10;3275
PRS_TB_TaskItem;2025-09-30 16:00:21.300;2025-10-24 18:09:44.850;NULL;0;2077
CFN_TB_EmployeeHdr;2025-10-24 15:17:09.100;2025-10-24 18:12:06.570;2025-10-13 11:12:13.070;5;1954
PRS_TB_HarvestTaskDefinitionDTL;2025-09-30 16:00:21.300;2025-10-24 18:09:44.850;NULL;0;1855
PRS_TB_AllocationHDR;2025-10-24 18:09:44.227;2025-10-24 18:12:06.427;2025-10-24 18:09:44.850;0;1634
CFN_TB_GeneralAllocationHDR;2025-10-24 18:10:38.710;2025-10-25 09:55:45.810;2025-10-24 18:10:04.927;0;1376
fwkRoleMaster;2025-10-14 09:10:22.593;2025-10-24 18:11:33.727;NULL;0;1062
CFN_TB_UOMHDR;2025-10-23 16:38:24.487;2025-10-24 18:09:44.850;NULL;0;1000
PRS_TB_WorkGroupRole;2025-10-21 15:47:23.827;2025-10-24 18:12:06.427;2025-10-24 18:09:44.227;0;916
PRS_TB_LeaveHDR;NULL;2025-10-24 18:12:06.570;NULL;0;826
PRS_TB_PayrollGeneralSetting;NULL;2025-10-24 18:10:01.663;2025-10-24 18:10:04.927;0;825
CFN_TB_GeographicalUnitHDR;2025-10-21 15:47:22.610;2025-10-24 18:10:38.710;NULL;0;735
PRS_TB_CategoryHDR;2025-10-21 15:47:22.930;2025-10-24 18:12:06.427;2025-10-14 09:09:03.350;0;735
PRS_TB_EmployeePositionVRL;2025-10-14 09:09:12.110;2025-10-24 18:12:06.427;NULL;0;653
PRS_TB_WorkGroupDTL;2025-10-13 18:33:56.080;2025-10-24 18:12:06.427;NULL;55;633
fwkUserMaster;2025-10-24 18:11:33.727;2025-10-22 12:10:38.530;NULL;6;624
PRS_TB_WorkGroupHDR;2025-10-21 15:47:22.263;2025-10-24 18:12:06.427;NULL;11;606
CFN_TB_AccountGroup;2025-10-24 18:09:44.850;2025-10-25 01:04:55.700;NULL;0;564
CFN_TB_Account;2025-10-21 15:47:21.810;2025-10-25 01:04:55.700;2025-10-24 18:09:44.850;0;474
PRS_TB_HarvestTaskIncentivePenalty;2025-10-24 18:01:13.357;2025-10-24 18:09:39.850;NULL;0;473
PRS_TB_HarvestTaskDefinition;2025-10-21 15:47:23.400;2025-10-24 18:09:44.850;NULL;0;469
CFN_TB_GeographicalUnitAreaCommodityDTL;NULL;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;0;447
PRS_TB_Designation;NULL;2025-10-24 18:12:06.427;NULL;0;434
CFN_TB_AdministrativeUnitHdr;2025-10-24 18:10:38.710;2025-10-21 15:47:19.200;NULL;0;344
fwkEntityMaster;2025-10-14 09:10:22.593;2025-10-22 12:21:14.310;NULL;0;342
fwkCustomRules;NULL;2025-10-22 12:21:06.060;NULL;0;341
fwkRoleRules;NULL;2025-10-14 09:10:22.593;NULL;0;338
CFN_TB_AnalysisType;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;0;335
fwkSSLControllers;2025-10-13 09:16:18.410;2025-10-22 12:17:28.870;NULL;0;316
CFN_TB_EmployeeFamilyDTL;2025-10-14 09:10:05.057;2025-10-22 12:12:02.180;NULL;0;284
CLC_TB_OPRegistration;NULL;2025-10-24 18:12:06.570;NULL;0;274
PRS_TB_LeaveSchedule;NULL;2025-10-24 18:12:06.570;NULL;0;273
CLC_TB_LeaveCertification;NULL;2025-10-24 18:12:06.570;NULL;0;272
CLC_TB_Clinic;NULL;2025-10-24 18:12:06.570;NULL;0;272
CFN_TB_GeneralAllocationSettingHDR;NULL;2025-10-24 18:10:38.710;NULL;0;252
CFN_TB_GeneralAllocationSettingDTL;NULL;2025-10-24 18:10:38.710;NULL;0;252
CFN_TB_Commodity;NULL;2025-10-24 18:09:39.850;2025-10-14 09:06:40.480;0;249
PRS_TB_HarvestTaskDefinitionSlabDTL;NULL;2025-10-24 18:09:39.850;NULL;0;247
AGR_TB_ABWDetermination;NULL;2025-10-24 18:09:43.130;NULL;0;245
WBR_TB_OP_GeographicalUnitABW;NULL;2025-10-24 18:09:43.130;NULL;0;235
PRS_TB_GeographicalAllocationDTL;NULL;2025-10-24 18:09:43.130;NULL;0;233
CFN_TB_GeneralAllocationHDR;2025-10-24 18:09:43.130;2025-10-22 12:13:28.547;NULL;0;232
CFN_TB_GeographicalUnitSetting;2025-10-21 15:47:21.767;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;10;225
CFN_TB_Asset;2025-10-21 15:47:23.827;2025-10-25 09:55:45.810;2025-10-24 18:09:27.850;0;219
CFN_TB_AnalysisType;2025-10-24 18:10:38.710;NULL;NULL;0;216
CFN_TB_AnalysisCode;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;2025-10-24 18:10:38.710;0;210
